DataSet,Trial1,Trial2,Trial3,Trial4,Trial5
ints_20.txt,ints_20,384,376,367,381,370
ints_21.txt,ints_21,827,819,793,794,801
ints_22.txt,ints_22,1619,1617,1621,1664,1622
ints_23.txt,ints_23,3146,2938,3148,2948,2855
ints_24.txt,ints_24,6080,6096,6136,6170,6128
ints_25.txt,ints_25,13466,13228,13458,13200,13263
ints_26.txt,ints_26,30179,30236,30369,30333,30446
ints_27.txt,ints_27,66383,66144,66403,66477,66975
ints_28.txt,ints_28,141405,140482,139514,141393,139132
ints_29.txt,ints_29,313155,321343,314371,316904,314268
