DataSet,Trial1,Trial2,Trial3,Trial4,Trial5
ints_20.txt,ints_20,247,257,240,244,247
ints_21.txt,ints_21,678,670,677,680,664
ints_22.txt,ints_22,1589,1574,1565,1582,1578
ints_23.txt,ints_23,3181,3165,3160,3177,3236
ints_24.txt,ints_24,8054,8030,8086,8086,8223
ints_25.txt,ints_25,16025,15720,15924,15843,15797
ints_26.txt,ints_26,41153,41104,41404,41772,42603
ints_27.txt,ints_27,227033,97891,98069,206256,192371
ints_28.txt,ints_28,243180,246778,245061,629355,244850
