DataSet,Trial1,Trial2,Trial3,Trial4,Trial5
ints_20.txt,ints_20,272,279,288,278,277
ints_21.txt,ints_21,714,717,713,711,704
ints_22.txt,ints_22,1569,1575,1577,1599,1555
ints_23.txt,ints_23,3528,3594,3514,3534,3524
ints_24.txt,ints_24,7244,7107,7299,7235,7258
ints_25.txt,ints_25,13657,13837,13834,13819,13775
ints_26.txt,ints_26,34030,33581,33338,33296,33686
ints_27.txt,ints_27,80500,79833,79715,79683,79622
ints_28.txt,ints_28,171259,175042,169366,169688,170975
ints_29.txt,ints_29,395924,393010,397372,393652,393692
ints_30.txt,ints_30,1072599,1069075,1077169,1076498,1071770
