DataSize,Trial1,Trial2,Trial3,Trial4,Trial5
20,169,180,168,159,161
21,327,325,325,327,327
22,747,746,805,760,822
23,1737,1673,1689,1701,1719
24,3853,3817,3804,3860,3840
25,8723,8716,8758,8625,8606
26,18713,18730,18775,18940,18806
27,41942,42253,42712,42133,42219
28,143189,154826,152446,171907,170196
29,218740,212978,216150,212542,214221
30,488985,463656,467510,462248,463409
