DataSize,Trial1,Trial2,Trial3,Trial4,Trial5
20,93,91,90,83,97
21,187,169,166,177,177
22,383,350,348,360,342
23,788,750,729,744,721
24,1475,1589,1573,1475,1516
25,3190,3188,3160,3133,3045
26,6332,6630,6348,7075,6665
27,13508,13841,13939,12974,13299
28,28808,27763,30639,27451,30208
29,57512,57118,59886,56621,55953
30,114180,122136,119844,117470,117569
