DataSize,Trial1,Trial2,Trial3,Trial4,Trial5
20,170,171,174,171,169
21,359,360,351,359,353
22,588,590,589,600,600
23,1246,1220,1233,1259,1251
24,3089,3021,3093,3080,3090
25,6352,6420,6478,6456,6473
26,11354,11243,10957,11041,11033
27,22795,22829,24193,23632,23970
28,50475,48050,47136,47861,46968
29,94896,96661,99830,95466,96810
30,203069,199993,198909,196951,201204
