DataSet,Trial1,Trial2,Trial3,Trial4,Trial5
ints_20,ints_20,99,96,96,96,96
ints_21,ints_21,189,186,187,190,191
ints_22,ints_22,408,409,404,410,407
ints_23,ints_23,915,945,921,926,937
ints_24,ints_24,2131,2157,2168,2141,2148
ints_25,ints_25,4658,4697,4638,4572,4695
ints_26,ints_26,10058,10045,10247,10147,10218
ints_27,ints_27,21996,21854,21947,21997,21924
ints_28,ints_28,48706,48781,48681,48462,48704
ints_29,ints_29,,,,,
ints_30,ints_30,,,,,
