DataSet,Trial1,Trial2,Trial3,Trial4,Trial5
ints_20,ints_20,91,92,97,86,89
ints_21,ints_21,180,181,190,177,175
ints_22,ints_22,367,370,359,387,380
ints_23,ints_23,789,782,710,747,728
ints_24,ints_24,1585,1508,1561,1571,1539
ints_25,ints_25,3274,3382,3161,3375,3190
ints_26,ints_26,6595,6929,6764,6668,6390
ints_27,ints_27,14064,13778,13937,14281,13611
ints_28,ints_28,28643,27163,27232,27446,27321
ints_29,ints_29,,,,,
ints_30,ints_30,,,,,
